"","Date","Total","Anger","Trust"
"385",2021-03-21,374,0.053475935828877,0.0401069518716578
"386",2021-03-22,541,0.0480591497227357,0.0573012939001848
"387",2021-03-23,873,0.0630011454753723,0.0435280641466208
"388",2021-03-24,563,0.0586145648312611,0.0515097690941385
"389",2021-03-25,565,0.0212389380530973,0.0247787610619469
"390",2021-03-26,523,0.0305927342256214,0.0439770554493308
"391",2021-03-27,370,0.0459459459459459,0.0513513513513514
"392",2021-03-28,341,0.0293255131964809,0.0351906158357771
"393",2021-03-29,379,0.0554089709762533,0.0474934036939314
"394",2021-03-30,428,0.044392523364486,0.0373831775700935
"395",2021-03-31,404,0.047029702970297,0.0569306930693069
"396",2021-04-01,424,0.0495283018867925,0.0683962264150943
